;1019;6564054;AXTV;12-2094-02-03;MUSCULOSA NEGRO  CON CINTA SUBLIMADA EN ESPALDA - T.L;1;$949,90 ;284,97 ;$664,93 ;119,69 ;545,24 ;220;P    Extra Descuento 5%
535;898;6559296;AYCR;3S-9000-01-02;MINIFALDA BLANCO  CRUZADA CON SHORT INTERNO - T.2;1;$1.349,90 ;337,48 ;$1.012,43 ;182,24 ;830,19 ;220;P    Extra Descuento 5%
535;898;6559296;AYSY;75-0469-14-02;BOXER FRANCIA  COLOR BLOCK - T.2;1;$599,90 ;149,98 ;$449,93 ;80,99 ;368,94 ;220;P    Extra Descuento 5%
535;898;6559296;AYOU;74-0502-1C-01;"REMERA BEIGE  ""GREAT THINGS..."" - T.S";1;$949,90 ;237,48 ;$712,43 ;128,24 ;584,19 ;220;P    Extra Descuento 5%
535;898;6559296;AXWT;24-3091-02-02;LEGGING NEGRO  CON RECORTES Y ESTAMPA LATERAL - T.2;1;$1.899,90 ;474,98 ;$1.424,93 ;256,49 ;1168,44 ;220;P    Extra Descuento 5%
535;898;6559296;AYHC;67-0276-02-03;VESTIDO NEGRO  CON GALÓN - T.L;1;$1.099,90 ;274,98 ;$824,93 ;148,49 ;676,44 ;220;P    Extra Descuento 5%
535;898;6559296;AYXA;90-9876-06-00;GORRA FUCSIA  DEPORTIVA PRINT DEGRADÉ - T.UNICO-TU;1;$659,94 ;0,00 ;$659,94 ;65,99 ;593,95 ;220;P    Free Premiums
535;898;6559296;AXWW;24-3093-02-01;LEGGING NEGRO  COMBINADO CON FRANJA ACEBRADA - T.1;1;$1.499,90 ;374,98 ;$1.124,93 ;202,49 ;922,44 ;220;P    Extra Descuento 5%
535;898;6564070;AYSF;75-0463-03-02;BOXER ROJO  RAYAS COMBINADAS - T.2;1;$599,90 ;149,98 ;$449,93 ;80,99 ;368,94 ;220;P    Extra Descuento 5%
535;898;6564070;AYSZ;75-0469-14-03;BOXER FRANCIA  COLOR BLOCK - T.3;1;$599,90 ;149,98 ;$449,93 ;80,99 ;368,94 ;220;P    Extra Descuento 5%
535;898;6564070;AYSG;75-0463-03-03;BOXER ROJO  RAYAS COMBINADAS - T.3;1;$599,90 ;149,98 ;$449,93 ;80,99 ;368,94 ;220;P    Extra Descuento 5%
;113;6559320;AYHC;67-0276-02-03;VESTIDO NEGRO  CON GALÓN - T.L;1;$1.099,90 ;329,97 ;$769,93 ;138,59 ;631,34 ;220;P    Extra Descuento 5%
;113;6559320;AXJD;6C-0001-9A-02;REMERA NARANJA FLUO  CON TAJOS LATERALES - T.M;1;$599,94 ;0,00 ;$599,94 ;59,99 ;539,95 ;220;P    Free Premiums
;113;6559320;AUIL;4B-4016-02-01;SHORT NEGRO  COMBINADO CON POWER SOFT SILVER - T.S;1;$1.299,90 ;389,97 ;$909,93 ;163,79 ;746,14 ;220;P    Extra Descuento 5%
;113;6559320;AYCA;3Q-2000-23-02;MUSCULOSA CORAL  CON TAJOS LATERALES - T.M;1;$799,95 ;199,99 ;$599,96 ;107,99 ;491,97 ;220;P    Oportunidad Musculosa Tejido flamé 2x $1599.90
;113;6559320;AXWR;24-3090-02-02;LEGGING NEGRO  CON ESTAMPA Y CINTURA COMBINADA - T.2;1;$1.139,94 ;0,00 ;$1.139,94 ;113,99 ;1025,95 ;220;P    Free Premiums
;113;6559320;AXNV;00-8040-9A-01;BANDÓ NARANJA FLUO  CLÁSICO - T.1;1;$499,90 ;149,97 ;$349,93 ;62,99 ;286,94 ;220;P    Extra Descuento 5%
;113;6559320;AYNF;67-2178-14-03;VESTIDO FRANCIA  CON APLIQUE BOCA - T.L;1;$1.299,90 ;389,97 ;$909,93 ;163,79 ;746,14 ;220;P    Extra Descuento 5%
;113;6559320;AXXT;24-8013-01-01;TOP BLANCO  CON RECORTE DE MICROTUL AL TONO - T.1;1;$699,90 ;209,97 ;$489,93 ;88,19 ;401,74 ;220;P    Extra Descuento 5%
;113;6559320;AYCN;3S-4000-01-01;SHORT BLANCO  COMBINADO CON ESTAMPA EN RECORTE - T.S;1;$899,90 ;269,97 ;$629,93 ;113,39 ;516,54 ;220;P    Extra Descuento 5%
;113;6559320;ATYJ;6C-0001-19-02;REMERA OBISPO  CON TAJOS LATERALES - T.M;1;$999,90 ;299,97 ;$699,93 ;125,99 ;573,94 ;220;P    Extra Descuento 5%
;113;6559320;AYBX;3Q-2000-11-02;MUSCULOSA CELESTE  CON TAJOS LATERALES - T.M;1;$799,95 ;199,99 ;$599,96 ;107,99 ;491,97 ;220;P    Oportunidad Musculosa Tejido flamé 2x $1599.90
;113;6559320;AYNE;67-2178-14-02;VESTIDO FRANCIA  CON APLIQUE BOCA - T.M;1;$1.299,90 ;389,97 ;$909,93 ;163,79 ;746,14 ;220;P    Extra Descuento 5%
;944;6559349;AZBK;90-7284-12-00;SOQUETE GRIS MELANGE  INVISIBLE RAYAS RAINBOW - T.UNICO-TU;1;$269,90 ;67,48 ;$202,43 ;36,44 ;165,99 ;220;P    Extra Descuento 5%
;944;6559349;AYHB;67-0276-02-02;VESTIDO NEGRO  CON GALÓN - T.M;1;$1.099,90 ;274,98 ;$824,93 ;148,49 ;676,44 ;220;P    Extra Descuento 5%
;944;6559349;AXWG;20-2020-02-02;BODY NEGRO  CON VISTA A CONTRATONO - T.2;1;$559,93 ;0,00 ;$559,93 ;55,99 ;503,94 ;220;P    Free Premiums
;944;6559349;AYGH;67-0271-45-02;REMERA VERDE FLUO  BÁSICA - T.M;1;$699,95 ;139,99 ;$559,96 ;100,79 ;459,17 ;220;P    Oportunidad Remera Básica Jersey fine 2X 1399.90
;944;6559349;AYPQ;81-4031-01-03;SHORT BLANCO  CON RED SUPERPUESTA EN LATERAL - T.L;1;$1.149,90 ;287,48 ;$862,43 ;155,24 ;707,19 ;220;P    Extra Descuento 5%
;944;6559349;AZBS;67-0271-97-02;REMERA CORAL FLUO  BÁSICA - T.M;1;$699,95 ;139,99 ;$559,96 ;100,79 ;459,17 ;220;P    Oportunidad Remera Básica Jersey fine 2X 1399.90
;944;6559349;AVSK;07-3063-02-02;PANTALON NEGRO  COMBINADO CON ELASTICO CON TRANSPARENCIA Y E;1;$1.499,90 ;374,98 ;$1.124,93 ;202,49 ;922,44 ;220;P    Extra Descuento 5%
;944;6559349;AXPU;07-3067-02-02;PANTALON NEGRO  CROPPED CINTURA ELÁSTICA CON LOGO - T.M;1;$1.099,90 ;274,98 ;$824,93 ;148,49 ;676,44 ;220;P    Extra Descuento 5%
